Baseline: (shortest-paths with test set without permutation)
num_nodes_min_max = (8, 17)
# 06045, T 1773.5, Ltr 0.1270, Lge 0.0651, Ctr 0.9978, Str 0.9688, Cge 0.9907, Sge 0.9100
# 06115, T 1794.1, Ltr 0.1437, Lge 0.0298, Ctr 0.9906, Str 0.9062, Cge 0.9938, Sge 0.9500
# 06183, T 1813.9, Ltr 0.1863, Lge 0.0887, Ctr 0.9903, Str 0.9062, Cge 0.9892, Sge 0.8900
# 06253, T 1834.2, Ltr 0.1391, Lge 0.0384, Ctr 0.9920, Str 0.8750, Cge 0.9945, Sge 0.9200
# 06321, T 1854.3, Ltr 0.1310, Lge 0.0252, Ctr 0.9950, Str 0.9375, Cge 0.9954, Sge 0.9200
# 06391, T 1874.5, Ltr 0.1150, Lge 0.0455, Ctr 0.9958, Str 0.9062, Cge 0.9931, Sge 0.8900
# 06460, T 1894.6, Ltr 0.1746, Lge 0.0240, Ctr 0.9893, Str 0.9375, Cge 0.9963, Sge 0.9200
# 06528, T 1914.8, Ltr 0.1326, Lge 0.0121, Ctr 1.0000, Str 1.0000, Cge 0.9973, Sge 0.9600
# 06598, T 1935.0, Ltr 0.1179, Lge 0.0730, Ctr 0.9951, Str 0.9375, Cge 0.9898, Sge 0.9000
# 06667, T 1955.1, Ltr 0.0944, Lge 0.0365, Ctr 1.0000, Str 1.0000, Cge 0.9926, Sge 0.9200
# 06735, T 1975.2, Ltr 0.1253, Lge 0.0563, Ctr 0.9944, Str 0.8750, Cge 0.9898, Sge 0.8700
# 06805, T 1995.3, Ltr 0.1212, Lge 0.0408, Ctr 0.9969, Str 0.8750, Cge 0.9937, Sge 0.9100
# 06874, T 2015.9, Ltr 0.1384, Lge 0.0296, Ctr 0.9948, Str 0.9375, Cge 0.9941, Sge 0.9500
# 06942, T 2035.6, Ltr 0.1638, Lge 0.0135, Ctr 0.9913, Str 0.8438, Cge 0.9977, Sge 0.9300
# 07011, T 2055.6, Ltr 0.1791, Lge 0.0470, Ctr 0.9982, Str 0.9688, Cge 0.9929, Sge 0.9200
# 07080, T 2075.9, Ltr 0.1507, Lge 0.0255, Ctr 0.9925, Str 0.8750, Cge 0.9952, Sge 0.9200
# 07150, T 2096.2, Ltr 0.1774, Lge 0.0495, Ctr 0.9847, Str 0.8438, Cge 0.9894, Sge 0.8900
# 07219, T 2116.2, Ltr 0.1346, Lge 0.0354, Ctr 0.9954, Str 0.9375, Cge 0.9934, Sge 0.9400
# 07287, T 2136.3, Ltr 0.1202, Lge 0.0293, Ctr 0.9976, Str 0.9375, Cge 0.9931, Sge 0.9300
# 07357, T 2156.5, Ltr 0.1417, Lge 0.0257, Ctr 0.9942, Str 0.9375, Cge 0.9947, Sge 0.9000
# 07427, T 2176.8, Ltr 0.1068, Lge 0.0466, Ctr 0.9977, Str 0.9375, Cge 0.9901, Sge 0.8600
# 07495, T 2196.9, Ltr 0.1181, Lge 0.0219, Ctr 0.9938, Str 0.9062, Cge 0.9963, Sge 0.9400
# 07565, T 2217.2, Ltr 0.1132, Lge 0.0299, Ctr 0.9987, Str 0.9375, Cge 0.9937, Sge 0.9000
# 07633, T 2237.2, Ltr 0.1175, Lge 0.0280, Ctr 0.9955, Str 0.9062, Cge 0.9942, Sge 0.9200
# 07703, T 2257.5, Ltr 0.1829, Lge 0.0248, Ctr 0.9866, Str 0.8438, Cge 0.9950, Sge 0.9100
# 07772, T 2277.6, Ltr 0.1322, Lge 0.0393, Ctr 0.9922, Str 0.9375, Cge 0.9936, Sge 0.9400
# 07840, T 2297.7, Ltr 0.1322, Lge 0.0838, Ctr 0.9944, Str 0.9375, Cge 0.9923, Sge 0.8700
# 07909, T 2317.9, Ltr 0.1264, Lge 0.0317, Ctr 0.9940, Str 0.8750, Cge 0.9941, Sge 0.9100
# 07979, T 2338.1, Ltr 0.1099, Lge 0.0243, Ctr 1.0000, Str 1.0000, Cge 0.9961, Sge 0.9400
# 08048, T 2358.2, Ltr 0.1748, Lge 0.0228, Ctr 0.9886, Str 0.9062, Cge 0.9968, Sge 0.9400
# 08118, T 2378.4, Ltr 0.1305, Lge 0.0175, Ctr 0.9988, Str 0.9688, Cge 0.9978, Sge 0.9600
# 08187, T 2399.0, Ltr 0.1741, Lge 0.0523, Ctr 0.9921, Str 0.9062, Cge 0.9908, Sge 0.9000
# 08256, T 2418.7, Ltr 0.1468, Lge 0.0201, Ctr 0.9934, Str 0.9375, Cge 0.9957, Sge 0.9200
# 08326, T 2438.9, Ltr 0.1495, Lge 0.0420, Ctr 0.9927, Str 0.9375, Cge 0.9946, Sge 0.9200
# 08394, T 2459.0, Ltr 0.1555, Lge 0.0256, Ctr 0.9865, Str 0.9062, Cge 0.9951, Sge 0.9200
# 08463, T 2479.1, Ltr 0.1364, Lge 0.0335, Ctr 0.9930, Str 0.8750, Cge 0.9937, Sge 0.9000
# 08532, T 2499.2, Ltr 0.0998, Lge 0.0280, Ctr 0.9988, Str 0.9688, Cge 0.9932, Sge 0.9400
# 08600, T 2519.4, Ltr 0.1480, Lge 0.0421, Ctr 0.9921, Str 0.8750, Cge 0.9934, Sge 0.8600
# 08670, T 2539.7, Ltr 0.1547, Lge 0.0513, Ctr 0.9889, Str 0.9062, Cge 0.9911, Sge 0.8800
# 08739, T 2559.7, Ltr 0.1330, Lge 0.0113, Ctr 0.9932, Str 0.9062, Cge 0.9993, Sge 0.9700
# 08807, T 2579.9, Ltr 0.1004, Lge 0.0520, Ctr 0.9971, Str 0.9688, Cge 0.9901, Sge 0.9300
# 08877, T 2600.1, Ltr 0.0860, Lge 0.0178, Ctr 1.0000, Str 1.0000, Cge 0.9967, Sge 0.9400
# 08946, T 2620.3, Ltr 0.0949, Lge 0.0431, Ctr 0.9987, Str 0.9688, Cge 0.9914, Sge 0.9200
# 09016, T 2640.5, Ltr 0.1144, Lge 0.0251, Ctr 0.9960, Str 0.9688, Cge 0.9968, Sge 0.9500
# 09085, T 2660.5, Ltr 0.1029, Lge 0.0128, Ctr 0.9963, Str 0.9375, Cge 0.9972, Sge 0.9400
# 09154, T 2680.6, Ltr 0.1344, Lge 0.0363, Ctr 0.9930, Str 0.9375, Cge 0.9955, Sge 0.9300
# 09223, T 2700.6, Ltr 0.1429, Lge 0.0174, Ctr 0.9915, Str 0.8438, Cge 0.9973, Sge 0.9500
# 09293, T 2720.8, Ltr 0.1628, Lge 0.0220, Ctr 0.9903, Str 0.8750, Cge 0.9967, Sge 0.9400
# 09362, T 2741.0, Ltr 0.1115, Lge 0.0112, Ctr 1.0000, Str 1.0000, Cge 0.9979, Sge 0.9500
# 09432, T 2761.1, Ltr 0.1375, Lge 0.0167, Ctr 0.9948, Str 0.9688, Cge 0.9973, Sge 0.9500
# 09500, T 2781.3, Ltr 0.1387, Lge 0.0255, Ctr 0.9975, Str 0.9375, Cge 0.9942, Sge 0.9400
# 09569, T 2801.3, Ltr 0.1149, Lge 0.0121, Ctr 0.9963, Str 0.9375, Cge 0.9983, Sge 0.9500
