graphs:
num_nodes_min_max_tr = (16, 33)
num_nodes_min_max_ge = (16, 33) --> permutations of tr

results:
iteration number	elapsed seconds	training loss	test/generalization loss	training fraction mse	training fraction examples solved correctly	test/generalization mse	test/generalization fraction examples solved correctly
#	T	Ltr	Lge	Ctr	Str	Cge	Sge
197	170.03898286819458	0.006151117524132133	0.006046420894563198	1.0	1.0	1.0	1.0
204	175.71548175811768	0.006181127112358809	0.006077192258089781	1.0	1.0	1.0	1.0
210	181.3110637664795	0.005601449683308602	0.005514809861779213	1.0	1.0	1.0	1.0
216	186.91902327537537	0.005406290479004383	0.005325127858668566	1.0	1.0	1.0	1.0
223	192.65351128578186	0.005189961381256581	0.005114434752613306	1.0	1.0	1.0	1.0
229	197.6602065563202	0.004994882270693779	0.004925840068608522	1.0	1.0	1.0	1.0
235	202.82449889183044	0.004819442890584469	0.0047498103231191635	1.0	1.0	1.0	1.0
242	208.6167061328888	0.004465588694438339	0.004400291945785284	1.0	1.0	1.0	1.0
249	214.13198518753052	0.004424031404778361	0.004360138438642025	1.0	1.0	1.0	1.0
256	219.65656328201294	0.004161486309021712	0.0041045863181352615	1.0	1.0	1.0	1.0
263	225.28846955299377	0.004053902393206954	0.004115684423595667	1.0	1.0	1.0	1.0
270	231.0292043685913	0.003856981731951237	0.0038045926485210657	1.0	1.0	1.0	1.0
277	236.77650952339172	0.0036189410835504535	0.0035682336892932653	1.0	1.0	1.0	1.0
284	242.4245002269745	0.003508628159761429	0.003462244290858507	1.0	1.0	1.0	1.0
291	248.00513577461243	0.003355504828505218	0.0033124012406915426	1.0	1.0	1.0	1.0
297	253.2254798412323	0.0031884985975921157	0.0031463380437344313	1.0	1.0	1.0	1.0
304	258.5136375427246	0.0031330172671005132	0.0030950529035180807	1.0	1.0	1.0	1.0
310	264.00969219207764	0.0031355728395283224	0.003099501132965088	1.0	1.0	1.0	1.0
316	269.36759877204895	0.003043702058494091	0.00300743174739182	1.0	1.0	1.0	1.0
323	275.10598134994507	0.002857721457257867	0.00282285432331264	1.0	1.0	1.0	1.0
329	280.1690196990967	0.0027821838390082124	0.0027497843839228153	1.0	1.0	1.0	1.0
336	285.744478225708	0.002655235026031733	0.0026248290669173002	1.0	1.0	1.0	1.0
343	291.3991470336914	0.002501749363727868	0.0024722046218812466	1.0	1.0	1.0	1.0
350	296.89641284942627	0.0024822507752105595	0.0024516182020306587	1.0	1.0	1.0	1.0
357	302.3825788497925	0.002348734484985471	0.002322158310562372	1.0	1.0	1.0	1.0
363	307.6708297729492	0.002347140572965145	0.0023203562013804913	1.0	1.0	1.0	1.0
370	313.419677734375	0.002308602398261428	0.0022818995639681816	1.0	1.0	1.0	1.0
377	318.99341106414795	0.00214832229539752	0.002123231766745448	1.0	1.0	1.0	1.0
384	324.6041531562805	0.0020801513455808163	0.0020576315000653267	1.0	1.0	1.0	1.0
391	330.168160200119	0.0020023284712806346	0.0019805061165243387	1.0	1.0	1.0	1.0
397	335.33501744270325	0.001964471908286214	0.0019437617156654596	1.0	1.0	1.0	1.0
404	341.1934037208557	0.001938274479471147	0.0019172223983332515	1.0	1.0	1.0	1.0
410	346.88732051849365	0.0018730218405835332	0.0018532256362959743	1.0	1.0	1.0	1.0
417	352.58896708488464	0.0018488724366761745	0.0018307504942640662	1.0	1.0	1.0	1.0
424	358.2762985229492	0.0017221369897015395	0.001703356159850955	1.0	1.0	1.0	1.0
430	363.39534425735474	0.0017569192335940898	0.0017395894974470139	1.0	1.0	1.0	1.0
